country,year,Inflation,Unemployment Rate
Australia,2020,0.846905537459293,6.46000003814697
Australia,2019,1.61076787290379,5.15999984741211
Australia,2018,1.91140094445692,5.30000019073486
Australia,2017,1.94864740944522,5.59000015258789
Australia,2016,1.27699094497328,5.71000003814697
Australia,2015,1.50836672165921,6.05000019073486
Australia,2014,2.48792270531403,6.07999992370605
Australia,2013,2.44988864142539,5.65999984741211
Australia,2012,1.76278015613193,5.21999979019165
Australia,2011,3.30385015608744,5.07999992370605
Australia,2010,2.91834002677376,5.21000003814697
Australia,2009,1.77111716621252,5.55999994277954
Australia,2008,4.35029854990047,4.23000001907349
Australia,2007,2.32761128891476,4.38000011444092
Australia,2006,3.55528773727028,4.78000020980835
Australia,2005,2.69183168316831,5.03000020980835
Australia,2004,2.34325522482587,5.3899998664856
Australia,2003,2.73259596616783,5.92999982833862
Australia,2002,2.98157453936349,6.36999988555908
Australia,2001,4.4071353620147,6.73999977111816
Australia,2000,4.45743514797225,6.28000020980835
Australia,1999,1.48312940304038,6.86999988555908
Australia,1998,0.860134629768157,7.67999982833862
Australia,1997,0.224887556221881,8.35999965667725
Australia,1996,2.61538461538462,8.51000022888184
Austria,2020,1.38191063351859,5.3600001335144
Austria,2019,1.53089564152645,4.48999977111816
Austria,2018,1.99837981429546,4.84999990463257
Austria,2017,2.08126911385587,5.5
Austria,2016,0.891591752655335,6.01000022888184
Austria,2015,0.896563335260302,5.71999979019165
Austria,2014,1.60581182954471,5.61999988555908
Austria,2013,2.00015616900603,5.32999992370605
Austria,2012,2.48567562177017,4.86999988555908
Austria,2011,3.28657914875376,4.55999994277954
Austria,2010,1.81353438995065,4.82000017166138
Austria,2009,0.506308827696486,5.30000019073486
Austria,2008,3.21595033239883,4.13000011444092
Austria,2007,2.16855528800755,4.8600001335144
Austria,2006,1.44154851119019,5.23999977111816
Austria,2005,2.29913785639285,5.63000011444092
Austria,2004,2.06120618032866,5.82999992370605
Austria,2003,1.35555370896445,4.78000020980835
Austria,2002,1.81035787764132,4.84999990463257
Austria,2001,2.65000077279529,4.01000022888184
Austria,2000,2.34486285357277,4.69000005722046
Austria,1999,0.568993765885587,4.69999980926514
Austria,1998,0.92246719668082,5.51999998092651
Austria,1997,1.30597857227694,5.15000009536743
Austria,1996,1.86097115760431,5.28000020980835
Belgium,2020,0.740791812220385,5.55000019073486
Belgium,2019,1.43681956996435,5.3600001335144
Belgium,2018,2.05316499865181,5.94999980926514
Belgium,2017,2.12597086002609,7.09000015258789
Belgium,2016,1.97385264653172,7.82999992370605
Belgium,2015,0.561429152790106,8.47999954223633
Belgium,2014,0.340002833356965,8.52000045776367
Belgium,2013,1.11309594027537,8.43000030517578
Belgium,2012,2.83966343445897,7.53999996185303
Belgium,2011,3.53208210722744,7.1399998664856
Belgium,2010,2.18929920422458,8.28999996185303
Belgium,2009,-0.0531456741253762,7.90999984741211
Belgium,2008,4.48944420508401,6.98000001907349
Belgium,2007,1.8230563002681,7.46000003814697
Belgium,2006,1.79120770070454,8.25
Belgium,2005,2.78143263670025,8.4399995803833
Belgium,2004,2.09728311239314,7.3600001335144
Belgium,2003,1.58896399970379,7.67999982833862
Belgium,2002,1.64521436175359,6.90999984741211
Belgium,2001,2.46925823086078,6.17999982833862
Belgium,2000,2.54451776190906,6.59000015258789
Belgium,1999,1.12084823417844,8.64999961853027
Belgium,1998,0.949250288350641,9.31999969482422
Belgium,1997,1.62816049512961,8.96000003814697
Belgium,1996,2.07702107350668,9.47999954223633
Canada,2020,0.716999632307852,9.46000003814697
Canada,2019,1.94926902411596,5.65999984741211
Canada,2018,2.268225672481,5.82999992370605
Canada,2017,1.5968841285297,6.34000015258789
Canada,2016,1.4287595470108,7.0
Canada,2015,1.12524136094279,6.90999984741211
Canada,2014,1.90663590717873,6.90999984741211
Canada,2013,0.93829189781521,7.07000017166138
Canada,2012,1.51567823124521,7.28999996185303
Canada,2011,2.91213508872355,7.51000022888184
Canada,2010,1.77687154092629,8.0600004196167
Canada,2009,0.299466803009284,8.34000015258789
Canada,2008,2.37027067444294,6.1399998664856
Canada,2007,2.13838399266843,6.03999996185303
Canada,2006,2.00202539534156,6.32000017166138
Canada,2005,2.21355203439764,6.76000022888184
Canada,2004,1.85725871857261,7.19000005722046
Canada,2003,2.75856321360112,7.57000017166138
Canada,2002,2.25839440940856,7.65999984741211
Canada,2001,2.52512013979907,7.21999979019165
Canada,2000,2.71943995691972,6.82999992370605
Canada,1999,1.73484295105918,7.57999992370605
Canada,1998,0.995942456658074,8.27999973297119
Canada,1997,1.62121638084528,9.10000038146973
Canada,1996,1.57053112507137,9.61999988555908
Switzerland,2020,-0.725874933313391,4.82000017166138
Switzerland,2019,0.362886179940635,4.3899998664856
Switzerland,2018,0.936335464113605,4.71000003814697
Switzerland,2017,0.533787839825886,4.80000019073486
Switzerland,2016,-0.434618664285843,4.92000007629395
Switzerland,2015,-1.14390867228178,4.80000019073486
Switzerland,2014,-0.0132025387515987,4.82999992370605
Switzerland,2013,-0.217323155115639,4.75
Switzerland,2012,-0.692552018105236,4.48000001907349
Switzerland,2011,0.231349207650894,4.40000009536743
Switzerland,2010,0.688238707220017,4.80000019073486
Switzerland,2009,-0.480481936423328,4.11999988555908
Switzerland,2008,2.42604117060162,3.34999990463257
Switzerland,2007,0.732350603122241,3.65000009536743
Switzerland,2006,1.05950928324804,4.0
Switzerland,2005,1.17195420333701,4.44000005722046
Switzerland,2004,0.802908730955216,4.32000017166138
Switzerland,2003,0.638272930887213,4.11999988555908
